Time,Time Code,Country Name,Country Code,Firms with female participation in ownership (% of firms) [IC.FRM.FEMO.ZS],Share of female business owners (% of total business owners) [IC.WEF.LLCO.FE.ZS],Share of female directors (% of total directors) [IC.WEF.LLCD.FE.ZS],Share of female sole proprietors  (% of sole proprietors) [IC.WEF.SOLO.FE.ZS],Share of male business owners  (% of total business owners) [IC.WEF.LLCO.MA.ZS],Share of male directors (% of total directors) [IC.WEF.LLCD.MA.ZS],Share of male sole proprietors  (% of sole proprietors) [IC.WEF.SOLO.MA.ZS],Dismissal of pregnant workers is prohibited (1=yes; 0=no) [SG.DML.PRGW],"Employers, female (% of female employment) (modeled ILO estimate) [SL.EMP.MPYR.FE.ZS]","Employers, male (% of male employment) (modeled ILO estimate) [SL.EMP.MPYR.MA.ZS]","Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],"Employment in agriculture, female (% of female employment) (modeled ILO estimate) [SL.AGR.EMPL.FE.ZS]","Employment in agriculture, male (% of male employment) (modeled ILO estimate) [SL.AGR.EMPL.MA.ZS]",Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],"Employment in industry, female (% of female employment) (modeled ILO estimate) [SL.IND.EMPL.FE.ZS]","Employment in industry, male (% of male employment) (modeled ILO estimate) [SL.IND.EMPL.MA.ZS]",Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS],"Employment in services, female (% of female employment) (modeled ILO estimate) [SL.SRV.EMPL.FE.ZS]","Employment in services, male (% of male employment) (modeled ILO estimate) [SL.SRV.EMPL.MA.ZS]","Employment to population ratio, 15+, female (%) (national estimate) [SL.EMP.TOTL.SP.FE.NE.ZS]","Employment to population ratio, 15+, male (%) (national estimate) [SL.EMP.TOTL.SP.MA.NE.ZS]","Employment to population ratio, 15+, total (%) (national estimate) [SL.EMP.TOTL.SP.NE.ZS]",Female professional and technical workers (% of total) [SG.GEN.TECH.ZS],"Informal employment, female (% of total non-agricultural employment) [SL.ISV.IFRM.FE.ZS]","Informal employment, male (% of total non-agricultural employment) [SL.ISV.IFRM.MA.ZS]","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.FE.ZS]","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.MA.ZS]","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]",Labor force with advanced education (% of total working-age population with advanced education) [SL.TLF.ADVN.ZS],"Labor force with advanced education, female (% of female working-age population with advanced education) [SL.TLF.ADVN.FE.ZS]","Labor force with advanced education, male (% of male working-age population with advanced education) [SL.TLF.ADVN.MA.ZS]",Labor force with basic education (% of total working-age population with basic education) [SL.TLF.BASC.ZS],"Labor force with basic education, female (% of female working-age population with basic education) [SL.TLF.BASC.FE.ZS]","Labor force with basic education, male (% of male working-age population with basic education) [SL.TLF.BASC.MA.ZS]",Labor force with intermediate education (% of total working-age population with intermediate education) [SL.TLF.INTM.ZS],"Labor force with intermediate education, female (% of female working-age population with intermediate education) [SL.TLF.INTM.FE.ZS]","Labor force with intermediate education, male (% of male working-age population with intermediate education) [SL.TLF.INTM.MA.ZS]","Labor force, female [SL.TLF.TOTL.FE.IN]","Labor force, male [SL.TLF.TOTL.MA.IN]","Labor force, total [SL.TLF.TOTL.IN]",Length of paid maternity leave (calendar days) [SH.MMR.LEVE],Length of paid parental leave for father (calendar days) [SH.PAR.LEVE.MA],Length of paid parental leave for mother (calendar days) [SH.PAR.LEVE.FE],Length of paid paternity leave (calendar days) [SH.PTR.LEVE],"Mandatory retirement age, female [SG.AGE.RTRE.FE]","Mandatory retirement age, male [SG.AGE.RTRE.MA]",Paid leave is available to fathers (1=yes; 0=no) [SH.PTR.LEVE.AL],"Part time employment, female (% of total part time employment) [SL.TLF.PART.TL.FE.ZS]","Part time employment, male (% of total male employment) [SL.TLF.PART.MA.ZS]","Part time employment, total (% of total employment) [SL.TLF.PART.ZS]",Ratio of female to male labor force participation rate (%) (modeled ILO estimate) [SL.TLF.CACT.FM.ZS],"Self-employed, female (% of female employment) (modeled ILO estimate) [SL.EMP.SELF.FE.ZS]","Self-employed, male (% of male employment) (modeled ILO estimate) [SL.EMP.SELF.MA.ZS]","Self-employed, total (% of total employment) (modeled ILO estimate) [SL.EMP.SELF.ZS]"
1973,YR1973,Israel,ISR,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Italy,ITA,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,150,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Japan,JPN,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,47.6300010681152,81.0400009155273,63.8400001525879,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,"Korea, Rep.",KOR,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Latvia,LVA,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Lithuania,LTU,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Luxembourg,LUX,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Mexico,MEX,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Netherlands,NLD,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,New Zealand,NZL,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Norway,NOR,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Poland,POL,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Portugal,PRT,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Slovak Republic,SVK,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,182,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Slovenia,SVN,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Spain,ESP,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,1,..,..,1,..,..,..,..,..,..,..
1973,YR1973,Sweden,SWE,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Switzerland,CHE,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,Turkiye,TUR,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,United Kingdom,GBR,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1973,YR1973,United States,USA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,42,75.5,57.7999992370605,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Australia,AUS,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Austria,AUT,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Belgium,BEL,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98,0,0,3,..,..,1,..,..,..,..,..,..,..
1974,YR1974,Canada,CAN,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Chile,CHL,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,126,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Colombia,COL,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Costa Rica,CRI,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Czechia,CZE,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,154,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Denmark,DNK,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,49.1100006103516,71.8000030517578,60.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Estonia,EST,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Finland,FIN,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,France,FRA,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98,0,0,3,..,..,1,..,..,..,..,..,..,..
1974,YR1974,Germany,DEU,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Greece,GRC,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Hungary,HUN,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Iceland,ISL,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Ireland,IRL,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Israel,ISR,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,29.7999992370605,63.7099990844727,46.6300010681152,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Italy,ITA,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,150,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Japan,JPN,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,45.9300003051758,80.6999969482422,62.7900009155273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,"Korea, Rep.",KOR,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Latvia,LVA,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Lithuania,LTU,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Luxembourg,LUX,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Mexico,MEX,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Netherlands,NLD,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,New Zealand,NZL,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Norway,NOR,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Poland,POL,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Portugal,PRT,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Slovak Republic,SVK,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,182,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Slovenia,SVN,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Spain,ESP,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,1,..,..,1,..,..,..,..,..,..,..
1974,YR1974,Sweden,SWE,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Switzerland,CHE,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,0,..,..,..,..,..,..,..
1974,YR1974,Turkiye,TUR,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,0,0,0,..,..,0,..,..,..,..,..,..,..
